Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
Gionee/金立 A969翻盖手机 双卡双待 正品行货 全国联保 特价包邮,"消费者保障	七天退换",七天退换,,广东 深圳货到付款,980.00        运费：0.00           折扣,meekeye,0,0
锋达通C867+ 电信双模双待天翼CDMA手机超薄超U73C5 正品厂家直销,"消费者保障	七天退换",七天退换,"月售3笔	2条评价",广东 深圳,225.00        运费：12.00           信用卡,yelina00,3,2
◤冲皇冠◥【Nokia/诺基亚 C5-03 直板S60智能全触】欣欣手机,"消费者保障	七天退换",七天退换,,广东 深圳,980.00        运费：20.00           信用卡,战衣零,0,0
【狂暑季】Lenovo/联想 Ma308 双卡双待 FM  大字体老人手机,"消费者保障	七天退换	正品保障",七天退换,"月售17笔	15条评价",北京货到付款,259.00        运费：8.00           信用卡,回头客数码专营店,17,15
Lenovo/联想 P700 安卓智能手机 超长待机 双卡双待,消费者保障,无七天退换,,山东 济南,1130.00        运费：15.00,达沃商城,0,0
新款女士音乐翻盖手机v520 K8 时尚超薄玟瑰花之约 双卡双待,"消费者保障	七天退换",七天退换,3条评价,广东 深圳,238.00        运费：10.00           信用卡,e玮达数码,0,3
ZTE/中兴 U788 3G智能安卓手机（太空银）3.5寸屏，大陆正品行货,"消费者保障	七天退换",七天退换,月售3笔,河南 郑州,449.00        运费：15.00           信用卡,三棵小白杨,3,0
北斗小辣椒手机 双核智能手机 小辣椒双核手机 双卡双待 黑色现货,"消费者保障	七天退换",七天退换,,广东 深圳货到付款,789.00        运费：0.01           信用卡,绿色数码科技,0,0
女士首选气质女士手机 OPPC U525/U520女款翻盖手机QQ后台,消费者保障,无七天退换,月售2笔,广东 深圳货到付款,358.00        运费：0.00           信用卡,世界宝贝5008,2,0
特价促销 Nokia/诺基亚 C5-03智能手机 触摸屏 500万像素 带WIFI,"消费者保障	七天退换",七天退换,"月售38笔	50条评价",广东 深圳货到付款,900.00        运费：0.00,woboy_1,38,50
【包邮现货/今日特价】Coolpad/酷派 8013手机 移动3G 安卓智能机,"消费者保障	七天退换	正品保障",七天退换,"月售4笔	4条评价",浙江 杭州,415.00        运费：0.00           信用卡,迈成达数码专营店,4,4
包邮2012新款东信三防手机 东信XP9 路虎S9 路虎S8 手机防摔手机,"消费者保障	七天退换",七天退换,"月售7笔	1条评价",广东 深圳货到付款,265.00        运费：0.00,蓝堡石,7,1
三盟S308/007老人手机之王 1000台零返修 大字体大音量,消费者保障,无七天退换,月售3笔,浙江 杭州,158.00        运费：0.00,winsong7370,3,0
Samsung/三星 GT-B9120 大器2 3g安卓智能双卡双待 翻盖商务手机,消费者保障,无七天退换,"月售2笔	1条评价",广东 广州,1090.00        运费：15.00,智能手机驿站,2,1
送2G 正品首悦V958老人手机 翻盖老人机 触屏手电语音报号老年机,"消费者保障	七天退换",七天退换,"月售114笔	172条评价",浙江 杭州货到付款,215.00        运费：0.01           信用卡,itsourcechina,114,172
锋达通正品天翼电信C865 CDMA双模双待手机 QQ 超长待机 全国联保,消费者保障,无七天退换,"月售2笔	2条评价",上海货到付款,248.00        运费：12.00           信用卡,ltp521_2008,2,2
全新原装 黑莓 9520手机 WIFI+GPS+手写 整套原装配件890元,"消费者保障	七天退换",七天退换,月售1笔,广东 深圳货到付款,890.00        运费：20.00           信用卡,2005快乐阳光,1,0
促销 Nokia/诺基亚 C5直板电信双模手机 老人学生实用 移动+电信,"消费者保障	七天退换",七天退换,"月售13笔	9条评价",广东 深圳货到付款,350.03        运费：15.00           信用卡,zhangde0806,13,9
新款翻盖手机男士女款批发超薄MX7000双卡双待国产 蓝牙 手写手机,"消费者保障	七天退换",七天退换,"月售6笔	8条评价",广东 深圳,168.00        运费：10.00,仰望99度的天空,6,8
诺基亚2505 电信天翼CDMA 女士超薄翻盖手机 Nokia/诺基亚 1006,"消费者保障	七天退换",七天退换,"月售4笔	26条评价",广东 深圳,145.01        运费：8.00           信用卡,华天通信3,4,26
Nokia/诺基亚 1000件诺基亚N73 原装正品 S60智能音乐手机 包邮,消费者保障,无七天退换,"月售7笔	3条评价",广东 深圳货到付款,180.00        运费：0.00,诚信海港城,7,3
超值酷派 S100 中国电信CDMA天翼 直板触摸手写 QQ炒股商务 手机,消费者保障,无七天退换,"月售5笔	5条评价",广东 深圳,161.50        运费：10.00           折扣,kbl657475,5,5
大显D9800 安卓2.3智能手机 超大电容屏 手机QQ 微信 正品行货,消费者保障,无七天退换,"月售2笔	1条评价",广东 深圳,475.00        运费：15.00           信用卡,一飘1983,2,1
腾讯齐乐A91 安卓4.0智能手机双卡双待女款800万正品行货 特价,"消费者保障	七天退换",七天退换,"月售51笔	27条评价",广东 深圳货到付款,959.00        运费：0.00           信用卡,皓酷拍,51,27
